ID,Crime,Date,Time,Suspect Gender,Suspect Race,Victim Count,Victim Gender,Victim Age,Weapon Type,Location,Address,City,County,State,Latitude,Longitude
5304,"Murder, Assault",7/4/1969,2355,Male,UNK,2,"Male, Female","19, 22",Firearm,Blue Rock Springs Park,650 Columbus Pkwy,Vallejo,UNK,California,38.1257701,-122.19253
5314,"Murder, Rape",4/1/1998,Night,Male,White,1,Female,34,Firearm,UNK,E 4800 14th,Spokane,UNK,Washington,47.1,-122.5
5351,Murder,2/20/2006,0738,Male,Black,2,"Male, Female","38, 34",Handgun,Street corner snack truck,91st Ave. & Lower Buckeye Rd.,Phoenix,Maricopa,Arizona,33.4212521,-112.2578957
5354,Murder,5/27/1991,UNK,Male,White,1,Male,14,UNK,Oxford Apartments ,924 N 25th St,Milwaukee,UNK,Wisconsin,43.0422719,-87.9465747
5363,Murder,1/1/1984,UNK,UNK,UNK,1,Female,UNK,UNK,UNK,UNK,Covington,UNK,Kentucky,39.0837,-84.5086
5403,Rape,10/19/1994,UNK,Male,Hispanic,1,Female,14,UNK,Junkyard in Buffalo,UNK,UNK,UNK,UNK,UNK,UNK
5407,"Murder, Sexual Assault",12/17/1989,UNK,Male,UNK,1,Female,33,UNK,Salmon River,Lehigh Rd,UNK,UNK,New York,43.540085,-75.881971
5422,"Theft, Drug Possession",7/31/1987,UNK,Male,White,1,UNK,UNK,UNK,UNK,UNK,UNK,Dekalb,Georgia,UNK,UNK
5428,Murder,UNK,UNK,Male,White,1,Male,UNK,Hands,Cranley Gardens,UNK,London,UNK,UNK,51.586081,-0.1419054
5429,Sexual Assault,11/3/2005,2010,Male,Black,1,UNK,UNK,Handgun,Parking lot,3131 E Indian School Rd.,Phoenix,Maricopa,Arizona,33.4942635,-112.0163792
5451,Murder,6/17/2018,UNK,Female,White,1,Male,92,Insulin injection,Hospital,8 Medical Center Dr,Clarksburg,UNK,West Virginia,39.2704,-80.3618
5473,Robbery,7/12/2018,1014,Male,Black,0,N/A,N/A,Note,BB&T Bank,0660 Stanhaven Place,White Plains,UNK,Maryland,38.5937663,-76.9414722
5485,Murder,1/1/1987,UNK,UNK,UNK,1,Female,26,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
5531,"Murder, Sexual Assault",12/31/1962,UNK,Male,White,1,Female,23,Hands,Apartment,515 Park Dr,Boston,UNK,Massachusetts,42.34801,-71.10558
5535,Carjacking,6/14/2023,UNK,Male,UNK,1,UNK,UNK,Firearm,Street,1220 D St SE,Washington,Washington,District of Columbia,38.8844438,76.9892755
5557,Rape,8/24/1989,UNK,Male,Hispanic,1,Female,14,Garrote,Willow Ridge Bike Path in Amherst,UNK,UNK,UNK,UNK,43.01824115,-78.80762846
5588,Murder,5/27/1975,UNK,Male,White,1,Male,14-18,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
5610,Murder,3/8/1980,UNK,Male,White,1,Female,23,Firearm,Mount Tamalpais State Park,3801 Panoramic Hwy,Mill Valley,UNK,California,37.9039,-122.6038
5652,Murder,2/1/1978,UNK,Male,White,1,Male,19,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
5706,Murder,1/1/1987,UNK,UNK,UNK,1,Female,40,UNK,Motel room,UNK,Las Vegas,UNK,Nevada,36.1716,-115.1391
5734,"Murder, Rape",8/26/1997,Night,Male,White,1,Female,16,Firearm,Mt Spokane Foothills,UNK,UNK,UNK,Washington,UNK,UNK
5766,"Murder, Rape",12/7/1997,Night,Male,White,1,Female,24,Firearm,UNK,3800 S 50th St.,Spokane,UNK,Washington,47.2,-122.4
5786,Murder,6/6/2010,UNK,Male,UNK,1,Female,22,Hands,Gilgo Beach,UNK,Babylon,UNK,New York,40.61921545,-73.39766586
5791,Murder,5/31/1990,UNK,Female,White,1,Male,40,Handgun,UNK,UNK,UNK,Pasco,Florida,28.324723,-82.7616927
5816,Murder,UNK,UNK,Female,White,1,Male,55,Poison,Boarding House,1430 F St,Sacramento,UNK,California,38.582705,-121.4872875
5822,Prohibited Firearm Possession,UNK,UNK,Male,White,1,UNK,UNK,UNK,UNK,UNK,UNK,Clayton,Georgia,UNK,UNK
5847,Murder,8/19/1979,UNK,Male,White,1,Female,44,Firearm,Mount Tamalpais State Park,3801 Panoramic Hwy,Mill Valley,UNK,California,37.9039,-122.6038
